A0A014M7K4_9GAMM	[Erwinia	mallotivora]	Uncharacterized	protein	{ECO:0000313|EMBL:EXU74084.1}	(86	residues)																						
A0A014MEY0_9GAMM	[Erwinia	mallotivora]	Uncharacterized	protein	{ECO:0000313|EMBL:EXU76624.1}	(89	residues)																						
A0A014PVM6_9GAMM	[Erwinia	mallotivora]	Type	VI	secretion	protein	{ECO:0000313|EMBL:EXU74932.1}	(99	residues)																				
A0A014Q2M5_9GAMM	[Erwinia	mallotivora]	Flagellar	L-ring	protein	FlgH	{ECO:0000313|EMBL:EXU77412.1}	(355	residues)																				
A0A023BPG9_9FLAO	[Aquimarina	atlantica]	Type	VI	secretion	protein	{ECO:0000313|EMBL:EZH71839.1}	(95	residues)																				
A0A023W4Z3_9CAUD	[Serratia	phage	PS2]	Uncharacterized	protein	{ECO:0000313|EMBL:AHY25409.1}	(97	residues)																					
A0A024HHJ8_PSEKB	[Pseudomonas	knackmussii	(strain	DSM	6978	/	LMG	23759	/	B13)]	PaaR	repeat-containing	protein	{ECO:0000313|EMBL:CDF83977.1}	(95	residues)													
A0A024HII5_PSEKB	[Pseudomonas	knackmussii	(strain	DSM	6978	/	LMG	23759	/	B13)]	Uncharacterized	protein	{ECO:0000313|EMBL:CDF84317.1}	(85	residues)														
A0A031LID5_9GAMM	[Acinetobacter	sp.	Ver3]	Uncharacterized	protein	{ECO:0000313|EMBL:EZQ01882.1}	(Fragment)	(145	residues)																				
A0A031LK21_9GAMM	[Acinetobacter	sp.	Ver3]	Uncharacterized	protein	{ECO:0000313|EMBL:EZQ01881.1}	(185	residues)																					
A0A062V1P6_9EURY	[Candidatus	Methanoperedens	nitroreducens]	Uncharacterized	protein	{ECO:0000313|EMBL:KCZ70548.1}	(131	residues)																					
A0A063B8W9_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB05777.1}	(178	residues)																				
A0A063BD51_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB09615.1}	(181	residues)																				
A0A063BHY3_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB09312.1}	(93	residues)																				
A0A063BI02_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB10635.1}	(60	residues)																				
A0A063BIR1_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB10166.1}	(82	residues)																				
A0A063BM06_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB09228.1}	(193	residues)																				
A0A063BPD8_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB10233.1}	(96	residues)																				
A0A063BPS2_9BURK	[Burkholderia	sp.	lig30]	PAAR	repeat-containing	protein	{ECO:0000313|EMBL:KDB10494.1}	(93	residues)																				
A0A067XQN0_9CAUD	[Caulobacter	phage	Cr30]	Uncharacterized	protein	{ECO:0000313|EMBL:AGS81100.1}	(86	residues)																					
A0A068QTD3_9GAMM	[Xenorhabdus	doucetiae]	Uncharacterized	protein	{ECO:0000313|EMBL:CDG18064.1}	(87	residues)																						
A0A068QZE6_9GAMM	[Xenorhabdus	doucetiae]	Uncharacterized	protein	{ECO:0000313|EMBL:CDG19190.1}	(87	residues)																						
A0A068R5X1_9GAMM	[Xenorhabdus	poinarii	G6]	Uncharacterized	protein	{ECO:0000313|EMBL:CDG22409.1}	(89	residues)																					
A0A069PCW6_9BURK	[Caballeronia	glathei]	Uncharacterized	protein	{ECO:0000313|EMBL:KDR38362.1}	(181	residues)																						
A0A069PFB1_9BURK	[Caballeronia	glathei]	Uncharacterized	protein	{ECO:0000313|EMBL:KDR38524.1}	(82	residues)																						
A0A069PQA3_9BURK	[Caballeronia	glathei]	Uncharacterized	protein	{ECO:0000313|EMBL:KDR42044.1}	(87	residues)																						
A0A069PU70_9BURK	[Caballeronia	glathei]	Uncharacterized	protein	{ECO:0000313|EMBL:KDR44323.1}	(189	residues)																						
A0A069Q3H4_9BURK	[Caballeronia	glathei]	Uncharacterized	protein	{ECO:0000313|EMBL:KDR44341.1}	(249	residues)																						
A0A071LR25_9ENTR	[Mangrovibacter	sp.	MFB070]	Uncharacterized	protein	{ECO:0000313|EMBL:KEA50740.1}	(386	residues)																					
A0A071LW79_9ENTR	[Mangrovibacter	sp.	MFB070]	Uncharacterized	protein	{ECO:0000313|EMBL:KEA52575.1}	(86	residues)																					
A0A071M1M1_9ENTR	[Mangrovibacter	sp.	MFB070]	Type	VI	secretion	protein	{ECO:0000313|EMBL:KEA50521.1}	(99	residues)																			
A0A071M1N2_9ENTR	[Mangrovibacter	sp.	MFB070]	Uncharacterized	protein	{ECO:0000313|EMBL:KEA50531.1}	(465	residues)																					
A0A072TDF1_MEDTR	[Medicago	truncatula	(Barrel	medic)	(Medicago	tribuloides)]	OmpA	family	protein	{ECO:0000313|EMBL:KEH15397.1}	(Fragment)	(486	residues)																
A0A072TE01_MEDTR	[Medicago	truncatula	(Barrel	medic)	(Medicago	tribuloides)]	PAAR	motif	protein	{ECO:0000313|EMBL:KEH15441.1}	(408	residues)																	
A0A072TEB2_MEDTR	[Medicago	truncatula	(Barrel	medic)	(Medicago	tribuloides)]	PAAR	motif	protein	{ECO:0000313|EMBL:KEH15727.1}	(Fragment)	(431	residues)																
A0A072TEM8_MEDTR	[Medicago	truncatula	(Barrel	medic)	(Medicago	tribuloides)]	PAAR	motif	protein	{ECO:0000313|EMBL:KEH15473.1}	(Fragment)	(128	residues)																
A0A076G3N1_9CAUD	[Aeromonas	phage	pAh6-C]	Uncharacterized	protein	{ECO:0000313|EMBL:AII26771.1}	(95	residues)																					
A0A077LJI0_9PSED	[Pseudomonas	sp.	StFLB209]	PAAR	motif-containing	protein	{ECO:0000313|EMBL:BAP42968.1}	(133	residues)																				
A0A081FT96_9GAMM	[Marinobacterium	sp.	AK27]	Uropathogenic	specific	protein	{ECO:0000313|EMBL:KEA61751.1}	(94	residues)																				
A0A081FY33_9GAMM	[Marinobacterium	sp.	AK27]	Uropathogenic	specific	protein	{ECO:0000313|EMBL:KEA63438.1}	(94	residues)																				
A0A081G482_9GAMM	[Marinobacterium	sp.	AK27]	Uropathogenic	specific	protein	{ECO:0000313|EMBL:KEA65587.1}	(94	residues)																				
A0A081N1C6_9GAMM	[Endozoicomonas	numazuensis]	Type	VI	secretion	protein	{ECO:0000313|EMBL:KEQ12249.1}	(97	residues)																				
A0A083ZVA1_9GAMM	[Serratia	sp.	DD3]	Uncharacterized	protein	{ECO:0000313|EMBL:KEY56980.1}	(84	residues)																					
A0A083ZVT7_9GAMM	[Serratia	sp.	DD3]	Uncharacterized	protein	{ECO:0000313|EMBL:KEY57166.1}	(72	residues)																					
A0A083ZXV8_9GAMM	[Serratia	sp.	DD3]	Uncharacterized	protein	{ECO:0000313|EMBL:KEY57887.1}	(87	residues)																					
