1reg_Pseudomonassyringae.317.GCF_001281365.1_ASM128136v1_genomic_NZ_CP005970.1_3059_3838	Pseudo
1reg_Pseudomonassyringaegroupgenomosp7.251699.GCF_003703295.1_ASM370329v1_genomic_NZ_RBVF01000095.1_36_Pseudomonassyringaegroupgenomosp7.251699.GCF_001401315.1_PtgICMP4091_genomic_NZ_LJRM01000067.1_1_Pseudomonassyringaegroupgenomosp7.251699.GCF_003702855	Pseudo
1reg_Pseudomonassyringae.317.GCF_000988395.1_ASM98839v1_genomic_NZ_CP006256.1_4946_3720	Pseudo
1reg_Pseudomonassyringae.317.GCF_002699945.1_ASM269994v1_genomic_NZ_LKCC01000066.1_1_Pseudomonassyringae.317.GCF_900289135.1_CFBP6110chr_genomic_NZ_OLMP01000001.1_11_4479	Pseudo
1reg_Pseudomonasamygdali.47877.GCF_001538055.1_ASM153805v1_genomic_NZ_LIID01000114.1_7_3982	Pseudo
1reg_Pseudomonassyringae.317.GCF_001538245.1_ASM153824v1_genomic_NZ_LIIH01000080.1_4_Pseudomonassavastanoi.29438.GCF_003701775.1_ASM370177v1_genomic_NZ_RBSX01000066.1_22_Pseudomonassyringae.317.GCF_001400285.1_PcsICMP9419_genomic_NZ_LJQD01000514.1_6_4299	Pseudo
1reg_Pseudomonasamygdali.47877.GCF_003699855.1_ASM369985v1_genomic_NZ_RBPD01000097.1_28_4276	Pseudo
1reg_Pseudomonasamygdali.47877.GCF_001400395.1_PhiICMP9623_genomic_NZ_LJQN01000098.1_25_5057	Pseudo
1reg_Pseudomonasamygdali.47877.GCF_001538055.1_ASM153805v1_genomic_NZ_LIID01000125.1_7_3983	Pseudo
1reg_Pseudomonassyringae.317.GCF_000988395.1_ASM98839v1_genomic_NZ_CP006256.1_3824_3718	Pseudo
1reg_Pseudomonasamygdali.47877.GCF_000934645.1_ASM93464v1_genomic_NZ_JWJF01000105.1_88_5104	Pseudo
1reg_Pseudomonasamygdali.47877.GCF_002905735.1_ASM290573v1_genomic_NZ_MLEE01000043.1_3_Pseudomonasamygdali.47877.GCF_002905685.2_ASM290568v2_genomic_NZ_CP026558.1_1025_Pseudomonasamygdali.47877.GCF_003702205.1_ASM370220v1_genomic_NZ_RBTY01000279.1_2_Pseu	Pseudo
1reg_Pseudomonascoronafaciens.53409.GCF_003703225.1_ASM370322v1_genomic_NZ_RBVD01000058.1_1_Pseudomonascoronafaciens.53409.GCF_001400915.1_PpoICMP8961_genomic_NZ_LJRA01000119.1_10_Pseudomonascoronafaciens.53409.GCF_001275725.1_ASM127572v1_genomic_NZ_JTHM	Pseudo
1reg_Pseudomonascoronafaciens.53409.GCF_001275725.1_ASM127572v1_genomic_NZ_JTHM01000036.1_1_4714	Pseudo
1reg_Pseudomonascoronafaciens.53409.GCF_003699755.1_ASM369975v1_genomic_NZ_RBOZ01000006.1_17_5037	Pseudo
1reg_Pseudomonascoronafaciens.53409.GCF_003415945.1_ASM341594v1_genomic_NZ_QPCU01000023.1_1_Pseudomonascoronafaciens.53409.GCF_003415685.1_ASM341568v1_genomic_NZ_QPEF01000022.1_1_Pseudomonascoronafaciens.53409.GCF_003416505.1_ASM341650v1_genomic_NZ_QPCX0	Pseudo
1reg_Pseudomonascoronafaciens.53409.GCF_003416545.1_ASM341654v1_genomic_NZ_QPCW01000020.1_127_4317	Pseudo
1reg_Pseudomonascoronafaciens.53409.GCF_003416195.1_ASM341619v1_genomic_NZ_QPDV01000005.1_127_4229	Pseudo
1reg_Pseudomonassyringaegroupgenomosp3.251701.GCF_003700345.1_ASM370034v1_genomic_NZ_RBRQ01000228.1_1_3928	Pseudo
1reg_Pseudomonasamygdali.47877.GCF_001535755.1_ASM153575v1_genomic_NZ_LIIA01000110.1_9_4956	Pseudo
1reg_Pseudomonasavellanae.46257.GCF_002905795.2_ASM290579v2_genomic_NZ_CP026562.1_4115_4140	Pseudo
1reg_Pseudomonassyringaegroupgenomosp3.251701.GCF_900289095.1_CFBP3800chr_genomic_NZ_OLMQ01000003.1_2370_Pseudomonasavellanae.46257.GCF_002905795.2_ASM290579v2_genomic_NZ_CP026562.1_5401_Pseudomonassyringaegroupgenomosp3.251701.GCF_900235905.1_CFBP6411_g	Pseudo
1reg_Pseudomonassyringaegroupgenomosp3.251701.GCF_000935725.1_PSMCFBP1657-G1_genomic_NZ_JYHH01000080.1_1_4768	Pseudo
1reg_Pseudomonassyringaegroupgenomosp3.251701.GCF_003700765.1_ASM370076v1_genomic_NZ_RBQA01000062.1_6_4641	Pseudo
1reg_Pseudomonassyringaegroupgenomosp3.251701.GCF_001400855.1_PmaICMP3935_genomic_NZ_LJQR01000005.1_1_3922	Pseudo
1reg_PseudomonasspBS3767.1882756.GCF_900099665.1_IMG-taxon_2687453723_annotated_assembly_genomic_NZ_FNCX01000012.1_27_PseudomonasspBS3759.1882755.GCF_900103395.1_IMG-taxon_2687453721_annotated_assembly_genomic_NZ_FNHT01000014.1_27_Pseudomonassyringae.317	Pseudo
1reg_Pseudomonassyringae.317.GCF_003700575.1_ASM370057v1_genomic_NZ_RBSS01000141.1_128_5032	Pseudo
1reg_Pseudomonassyringae.317.GCF_002917175.1_psy100_genomic_NZ_MLEV01000005.1_27_4979	Pseudo
1reg_Pseudomonassavastanoi.29438.GCF_001467115.1_ASM146711v1_genomic_NZ_LKCI01000007.1_26_3907	Pseudo
1reg_Pseudomonassp286.1705700.GCF_900585685.1_p23_NZ_UTUR01000001.1_519_4106	Pseudo
1reg_Pseudomonassyringae.317.GCF_002699845.1_ASM269984v1_genomic_NZ_LKBX01000002.1_133_4486	Pseudo
1reg_Pseudomonassyringae.317.GCF_003699875.1_ASM369987v1_genomic_NZ_RBPG01000084.1_159_4916	Pseudo
1reg_Pseudomonassyringae.317.GCF_900235825.1_CFBP4215_genomic_NZ_LT962480.1_4985_4746	Pseudo
1reg_Pseudomonassyringae.317.GCF_002318655.1_ASM231865v1_genomic_NZ_NHSR01000005.1_1_4918	Pseudo
1reg_Pseudomonassyringae.317.GCF_000012245.1_ASM1224v1_genomic_NC_007005.1_5053_Pseudomonassyringae.317.GCF_003205905.1_ASM320590v1_genomic_NZ_QJTV01000012.1_26_3946	Pseudo
1reg_Pseudomonassyringae.317.GCF_003700795.1_ASM370079v1_genomic_NZ_RBPX01000331.1_34_4445	Pseudo
1reg_Pseudomonassyringae.317.GCF_003412645.1_ASM341264v1_genomic_NZ_QPBZ01000075.1_2_3675	Pseudo
1reg_Pseudomonasviridiflava.33069.GCF_003700305.1_ASM370030v1_genomic_NZ_RBRK01000123.1_4_3681	Pseudo
